Disease,Symptoms,Ayurvedic Medicine,Preparation,Source,Dosage/Usage,Precautions,Possible Causes,Home Tips
Common Cold,"Runny nose, sneezing, sore throat, mild fever, congestion, watery eyes","Sitopaladi Churna, Talisadi Churna","Mix 1 tsp Sitopaladi Churna with honey, take twice daily",Classical Ayurvedic texts,"Take 1 tsp with honey twice daily for 5-7 days","Avoid cold drinks and foods. Stay warm. Rest adequately.","Kapha dosha imbalance, seasonal changes, weakened immunity","Drink warm water with ginger. Steam inhalation with eucalyptus oil. Eat warm cooked food."
Fever,"High temperature, chills, sweating, body ache, weakness, headache","Mahasudarshan Churna, Godanti Bhasma","Mix 1 tsp Mahasudarshan Churna in warm water, take twice daily",Ayurvedic Samhitas,"Take 1 tsp twice daily with warm water for 3-5 days","Monitor temperature. Rest completely. Drink plenty of warm fluids.","Pitta dosha aggravation, ama (toxins), viral/bacterial infection","Apply sandalwood paste on forehead. Drink coriander water. Eat light khichdi."
Viral Fever,"Fever, headache, body ache, fatigue, chills, weakness","Amritarishta, Sudarshan Ghana Vati","Take 2 tablets Sudarshan Ghana Vati twice daily with warm water",Traditional Ayurvedic medicine,"Take 2 tablets twice daily for 5-7 days","Complete bed rest. Avoid heavy foods. Drink warm herbal teas.","Seasonal viral infections, low immunity, dosha imbalance","Take Chyawanprash daily. Drink tulsi tea. Practice pranayama when recovered."
High Fever,"Temperature above 102Â°F, severe headache, body pain, chills","Praval Pishti, Kamadudha Ras","Mix Praval Pishti with rose water, take every 2 hours during fever",Classical Ayurvedic texts,"Take 1/4 tsp every 2 hours until fever subsides","Seek medical help if fever persists >3 days. Monitor consciousness.","Severe pitta aggravation, deep-seated ama, serious infection","Use cold compress with rose water. Drink coconut water. Avoid solid food."
Cough,"Dry cough, wet cough, throat irritation, chest congestion","Vasaka Asava, Sitopaladi Churna","Mix equal parts Vasaka Asava with water, take after meals",Ayurvedic pharmacopoeia,"Take 2 tsp twice daily after meals for 7-10 days","Avoid cold and sour foods. Don't suppress cough. Stay hydrated.","Kapha-Vata dosha imbalance, respiratory ama, allergens","Drink warm milk with turmeric. Chew fresh ginger. Steam inhalation daily."
Headache,"Pain in head, heaviness, sensitivity to light, tension, migraine","Pathyadi Kwath, Shirashooladi Vajra Ras","Prepare Pathyadi Kwath decoction, take twice daily",Traditional Ayurvedic medicine,"Take 50ml decoction twice daily for 5-7 days","Rest in dark room. Avoid stress and loud noises. Regular meals.","Vata-Pitta dosha imbalance, stress, improper diet, eye strain","Apply cooling oils on head. Practice shirodhara. Eat fresh fruits."
Migraine,"Severe headache, sensitivity to light, nausea, vomiting, throbbing pain, visual disturbances","Godanti Bhasma, Saraswatarishta, Brahmi Ghrita","Mix Godanti Bhasma with honey, take Saraswatarishta with water",Classical Ayurvedic medicine,"Godanti Bhasma 1/4 tsp twice daily, Saraswatarishta 2 tsp after meals","Avoid bright lights and loud sounds. Regular sleep schedule. Stress management.","Vata-Pitta dosha imbalance, stress, hormonal changes, food triggers","Apply cool compress on forehead. Practice pranayama. Avoid trigger foods like chocolate and cheese."
Indigestion,"Bloating, stomach pain, gas, nausea, heartburn, loss of appetite","Hingwashtak Churna, Avipattikar Churna","Mix 1 tsp Hingwashtak Churna in warm water before meals",Classical Ayurvedic formulations,"Take 1 tsp before meals twice daily","Eat slowly and mindfully. Avoid overeating. Walk after meals.","Agni (digestive fire) weakness, incompatible food combinations","Drink warm ginger water. Eat cooked vegetables. Avoid raw and cold foods."
Acidity,"Burning sensation in chest, sour taste, heartburn, stomach pain","Kamadudha Ras, Shatavari Churna","Mix Kamadudha Ras with milk, take twice daily",Ayurvedic Samhitas,"Take 1/2 tsp with milk twice daily for 7-10 days","Avoid spicy and sour foods. Eat at regular intervals. Stay calm.","Pitta dosha aggravation, stress, irregular eating, spicy food","Drink coconut water. Eat sweet fruits. Practice cooling pranayama."
Constipation,"Difficulty in passing stools, bloating, abdominal pain, hard stools","Triphala Churna, Isabgol","Mix 1 tsp Triphala Churna in warm water at bedtime",Traditional Ayurvedic medicine,"Take 1 tsp at bedtime with warm water daily","Drink plenty of water. Exercise regularly. Eat fiber-rich foods.","Vata dosha imbalance, low fiber diet, sedentary lifestyle","Drink warm water in morning. Eat soaked raisins. Practice yoga asanas."
Sore Throat,"Painful swallowing, throat irritation, scratchiness, hoarseness","Khadiradi Vati, Yashtimadhu Churna","Suck Khadiradi Vati tablets slowly, 4-5 times daily",Classical Ayurvedic texts,"Take 1 tablet 4-5 times daily for 5-7 days","Avoid cold drinks. Don't strain voice. Gargle with warm salt water.","Kapha-Pitta dosha imbalance, throat infection, voice overuse","Gargle with turmeric water. Drink warm herbal teas. Avoid dairy temporarily."
Toothache,"Pain in tooth, swelling, sensitivity, throbbing pain","Dantadhavan Churna, Lavangadi Vati","Apply Dantadhavan Churna on affected tooth, take Lavangadi Vati",Traditional dental Ayurveda,"Apply churna twice daily, take 1 tablet thrice daily","See Ayurvedic dentist if pain persists. Maintain oral hygiene.","Kapha dosha in teeth, poor oral hygiene, dental decay","Oil pulling with sesame oil. Chew neem twigs. Avoid sweet foods."
Insomnia,"Difficulty sleeping, restlessness, frequent waking, anxiety","Saraswatarishta, Brahmi Ghrita","Take Saraswatarishta with equal water after dinner",Classical Ayurvedic medicine,"Take 2 tsp after dinner for 15-20 days","Maintain regular sleep schedule. Avoid caffeine. Create calm environment.","Vata dosha aggravation, mental stress, irregular routine","Practice meditation. Massage feet with oil. Drink warm milk with nutmeg."
Anxiety,"Nervousness, worry, restlessness, rapid heartbeat, sweating","Saraswatarishta, Shankhpushpi Syrup","Take Shankhpushpi Syrup twice daily with water",Traditional Ayurvedic medicine,"Take 2 tsp twice daily for 21 days","Practice yoga and meditation. Avoid stimulants. Maintain routine.","Vata dosha imbalance, mental stress, lifestyle factors","Practice deep breathing. Listen to calming music. Spend time in nature."
Back Pain,"Lower back pain, muscle stiffness, spasms, difficulty moving","Mahanarayana Taila, Dashmoolarishta","Massage with Mahanarayana Taila, take Dashmoolarishta internally",Classical Ayurvedic texts,"Massage twice daily, take 2 tsp medicine after meals","Avoid heavy lifting. Sleep on firm surface. Do gentle yoga.","Vata dosha aggravation, muscle strain, poor posture","Apply warm oil massage. Practice specific yoga asanas. Use heating pad."
Diarrhea,"Loose stools, frequent bowel movements, abdominal cramps, dehydration","Kutajarishta, Bilwadi Churna","Take Kutajarishta with equal water after meals",Ayurvedic pharmacopoeia,"Take 2 tsp thrice daily until symptoms resolve","Stay hydrated with ORS. Eat light digestible food. Rest adequately.","Pitta-Kapha dosha imbalance, ama, infection, food poisoning","Drink buttermilk with roasted cumin. Eat rice with curd. Avoid raw foods."
Nausea,"Feeling sick, urge to vomit, dizziness, loss of appetite","Eladi Vati, Pippali Churna","Suck Eladi Vati tablets slowly when feeling nauseous",Traditional Ayurvedic medicine,"Take 1 tablet as needed up to 4 times daily","Eat small frequent meals. Avoid strong odors. Stay in fresh air.","Kapha-Pitta dosha imbalance, weak digestion, motion sickness","Chew fresh ginger. Smell lemon. Drink mint tea. Eat light foods."
Typhoid Fever,"High fever, headache, abdominal pain, weakness, rose spots","Mahasudarshan Churna, Chandanasava","Take Mahasudarshan Churna with honey thrice daily",Classical Ayurvedic medicine,"Take 1 tsp thrice daily with medical supervision","Requires medical monitoring. Complete prescribed treatment. Strict hygiene.","Severe ama, pitta aggravation, bacterial infection","Take under medical supervision. Maintain hygiene. Eat easily digestible food."
Malaria Fever,"Periodic fever with chills, headache, vomiting, sweating","Sudarshan Churna, Mahasudarshan Kwath","Prepare decoction of Sudarshan Churna, take before fever episodes",Traditional anti-malarial Ayurveda,"Take 50ml decoction twice daily with medical care","Requires immediate medical attention. Use mosquito protection.","Seasonal fever, mosquito-borne parasite, low immunity","Use under medical supervision. Maintain hydration. Use mosquito nets."
Dengue Fever,"High fever, severe headache, eye pain, muscle pain, skin rash","Papaya leaf extract, Giloy Satva","Fresh papaya leaf juice 2 tsp twice daily",Traditional Ayurvedic medicine,"Take 2 tsp papaya leaf juice twice daily","Monitor platelet count. Avoid aspirin. Seek immediate medical care.","Viral infection, mosquito-borne, seasonal epidemic","Drink plenty of fluids. Rest completely. Monitor for bleeding signs."
Acne,"Pimples, oily skin, redness, blackheads, whiteheads","Sariva Asava, Khadirarishta","Take Sariva Asava with equal water after meals",Classical skin treatments,"Take 2 tsp twice daily for 2-3 months","Avoid oily foods. Don't touch face. Use natural face packs.","Pitta-Kapha dosha imbalance, hormonal changes, poor diet","Use neem face pack. Drink plenty of water. Eat fresh fruits and vegetables."
