Disease,Symptoms,Home Remedy,Preparation,Source,Dosage/Usage,Precautions,Possible Causes,Home Tips
Common Cold,"Runny nose, sneezing, sore throat, mild fever, congestion, watery eyes",Ginger tea with honey,"Boil fresh ginger slices in water for 10 minutes, strain, and add honey before drinking.",Traditional Ayurveda / Grandmother's remedy,Drink 2-3 cups of ginger tea daily. Continue for 3-5 days.,Rest well. Avoid cold drinks. Stay warm. Wash hands frequently.,"Viral infection (rhinovirus), weakened immunity, weather changes, contact with infected person",Steam inhalation 2-3× daily. Drink warm lemon water. Eat vitamin C rich fruits. Rest adequately.
Cough,"Dry cough, wet cough, throat irritation, chest congestion, wheezing",Turmeric milk,Warm a cup of milk and add 1 tsp turmeric powder. Drink before bed.,Ayurvedic texts / Home remedy tradition,Drink 1 cup turmeric milk before bed daily for 5-7 days.,Avoid dairy if you have phlegm. Don't smoke. Stay hydrated.,"Viral infection, bacterial infection, allergies, irritants (smoke, pollution), post-nasal drip",Eat honey with black pepper. Drink warm water frequently. Avoid cold foods.
Indigestion,"Bloating, stomach pain, gas, nausea, heartburn, loss of appetite",Carom seeds (Ajwain) with warm water,Soak 1 tsp carom seeds in warm water for 10 minutes and drink.,Indian household remedy,Take 1 tsp carom seeds with warm water 2× daily after meals.,Eat slowly. Avoid overeating. Stay upright after meals.,"Overeating, eating too fast, fatty/spicy foods, stress, food intolerance",Eat slowly and chew well. Include ginger in meals. Drink buttermilk. Avoid carbonated drinks.
Acidity,"Burning sensation in chest, sour taste, heartburn, stomach pain, nausea",Cold milk,Drink a glass of plain cold milk without sugar.,Common natural remedy,Drink 1 glass cold milk when experiencing heartburn.,"Avoid spicy, oily, fried foods. Don't lie down immediately after eating.","Excess stomach acid, spicy/oily foods, obesity, hiatal hernia, certain medications",Eat smaller portions. Include cucumber in diet. Chew food thoroughly. Drink jeera water.
Headache,"Pain in head, heaviness, sensitivity to light, tension, migraine, dizziness",Peppermint oil massage,Apply a few drops of peppermint oil on temples and massage gently.,Aromatherapy / Natural remedy,Apply and massage peppermint oil 2-3× daily as needed.,Rest in dark quiet room. Avoid screen time. Stay hydrated.,"Tension, stress, lack of sleep, dehydration, eye strain, sinus issues, hormonal changes",Apply cold compress on forehead. Drink plenty of water. Practice relaxation. Avoid loud noise.
Constipation,"Difficulty in passing stools, bloating, abdominal pain, hard stools, straining",Isabgol (Psyllium husk) with warm water,Mix 1 tsp isabgol in a glass of warm water and drink before bed.,Ayurveda / Home remedy practice,Take 1 tsp isabgol with warm water at bedtime daily.,Drink 8-10 glasses of water daily. Avoid processed foods. Exercise regularly.,"Low fiber diet, dehydration, lack of exercise, ignoring urge to go, certain medications",Eat papaya and prunes. Exercise daily. Drink warm water in morning. Eat at regular times.
Sore Throat,"Painful swallowing, throat irritation, scratchiness, hoarseness, swollen glands",Salt water gargle,Mix 1 tsp salt in warm water and gargle 2–3 times daily.,Traditional remedy,"Gargle with saltwater 3-4 times daily, especially morning and night.",Stay hydrated. Avoid cold drinks. Rest your voice. Don't share utensils.,"Viral infection, bacterial infection, allergies, dry air, irritants, voice strain",Drink warm liquids. Use humidifier. Eat soft foods. Suck on lozenges or hard candy.
Acne,"Pimples, oily skin, redness, blackheads, whiteheads, inflammation",Aloe vera gel,Apply fresh aloe vera gel directly on affected area twice daily.,Skin care natural remedy,Apply fresh aloe vera gel twice daily on clean skin.,Don't pop pimples. Use clean towels. Avoid touching face frequently.,"Hormonal changes, excess oil production, bacteria, clogged pores, stress, diet",Use non-comedogenic products. Wash face 2× daily. Change pillowcase frequently. Drink plenty of water.
Toothache,"Pain in tooth, swelling, sensitivity, throbbing pain, jaw pain",Clove oil,Dip a cotton ball in clove oil and apply on the affected tooth.,Ayurveda / Natural dental remedy,Apply clove oil on affected tooth 2-3× daily for pain relief.,See dentist if pain persists. Avoid chewing on affected side.,"Dental cavity, gum disease, tooth abscess, damaged filling, tooth fracture",Rinse mouth with warm saltwater. Avoid sugary foods. Apply ice pack outside cheek.
Insomnia,"Difficulty sleeping, restlessness, frequent waking, anxiety, fatigue",Chamomile tea,"Steep chamomile flowers in hot water for 5 minutes, strain, and drink before bed.",Herbal remedy tradition,Drink 1 cup chamomile tea 30 minutes before bedtime daily.,Avoid caffeine after 2 PM. Keep bedroom cool and dark. Avoid screens before bed.,"Stress, anxiety, depression, poor sleep habits, medications, caffeine, irregular schedule",Keep consistent sleep schedule. Read before bed. Avoid heavy meals at night. Keep room dark.
Fever,"High temperature, chills, sweating, body ache, weakness, headache",Willow bark tea,"Boil willow bark in water for 15 minutes, strain and drink twice daily.",Traditional herbal medicine,Drink willow bark tea twice daily for 3-5 days or until fever subsides.,Stay hydrated. Rest. Monitor temperature. Seek medical help if fever >103°F.,"Viral or bacterial infection, inflammation, immune response, heat exhaustion",Sponge bath with lukewarm water. Wear light clothing. Rest completely. Eat light nutritious food.
Viral Fever,"Fever, headache, body ache, fatigue, chills, weakness, loss of appetite",Ginger and honey tea,"Boil fresh ginger in water for 10 minutes, add honey and lemon juice.",Traditional Ayurveda,Drink 3-4 cups daily for 5-7 days.,Rest completely. Drink plenty of fluids. Avoid solid food if nauseous.,"Viral infections (flu, dengue, chikungunya), seasonal changes, low immunity",Take paracetamol 500mg every 6 hours. Use cold compress on forehead. Drink ORS solution.
High Fever,"Temperature above 102°F, severe headache, body pain, chills, sweating",Cold water sponging and paracetamol,"Sponge body with cold water every 2 hours. Take paracetamol 500mg.",Medical emergency protocol,Paracetamol 500mg every 6 hours. Cold sponging every 2 hours.,Seek immediate medical help if fever >103°F. Monitor breathing and consciousness.,"Severe viral/bacterial infection, malaria, typhoid, pneumonia",Take ibuprofen 400mg if paracetamol ineffective. Use ice packs on forehead. Maintain electrolyte balance.
Typhoid Fever,"High fever, headache, abdominal pain, weakness, rose-colored rash",Antibiotics and supportive care,"Consult doctor for antibiotic prescription (usually Azithromycin or Ciprofloxacin).",Medical treatment,Complete antibiotic course as prescribed. Usually 7-14 days.,Strict bed rest. Boiled water only. Avoid street food. Complete antibiotic course.,"Salmonella typhi bacteria, contaminated food/water, poor sanitation",Take prescribed antibiotics (Azithromycin 500mg daily). Maintain fluid intake. Eat easily digestible food.
Malaria Fever,"Periodic fever with chills, headache, vomiting, sweating, fatigue",Antimalarial medication,"Consult doctor immediately for blood test and antimalarial drugs.",Medical emergency,Take prescribed antimalarials (Artemether-Lumefantrine or Chloroquine) as directed.,Immediate medical attention required. Use mosquito nets. Take full medication course.,"Plasmodium parasite transmitted by Anopheles mosquito bites",Take prescribed antimalarials completely. Use mosquito repellents. Sleep under treated nets.
Diarrhea,"Loose stools, frequent bowel movements, abdominal cramps, dehydration, nausea",BRAT diet (Banana Rice Applesauce Toast),"Eat only bananas, rice, applesauce, and toast for 24-48 hours.",Medical dietary recommendation,Follow BRAT diet strictly for 24-48 hours until symptoms improve.,Stay very well hydrated. Avoid dairy temporarily. Wash hands frequently.,"Viral/bacterial infection, food poisoning, medications, food intolerance, parasites",Drink oral rehydration solution. Eat plain rice. Avoid dairy temporarily. Rest.
Nausea,"Feeling sick, urge to vomit, dizziness, loss of appetite, stomach discomfort",Ginger root,Chew small piece of fresh ginger or drink ginger tea every 2-3 hours.,Traditional anti-nausea remedy,Chew small piece of ginger or drink ginger tea every 2-3 hours.,Eat small meals. Avoid strong smells. Stay hydrated. Rest.,"Food poisoning, motion sickness, pregnancy, medications, anxiety, migraine",Smell fresh lemon. Sit in fresh air. Eat small amounts. Avoid greasy foods.
Back Pain,"Lower back pain, muscle stiffness, spasms, difficulty moving, radiating pain",Hot and cold compress,"Apply hot compress for 15 minutes, then cold for 15 minutes. Repeat 3 times.",Physical therapy technique,"Apply alternating hot and cold compress for 15 minutes each, 3× daily.",Maintain good posture. Avoid heavy lifting. Sleep on firm mattress.,"Muscle strain, poor posture, lifting heavy objects, arthritis, herniated disc, stress",Sleep on firm surface. Use lumbar support. Apply heating pad. Do gentle stretches.
Anxiety,"Nervousness, worry, restlessness, rapid heartbeat, sweating, trembling",Deep breathing exercises,"Breathe in for 4 counts, hold for 4, exhale for 6. Repeat 10 times.",Mindfulness / Meditation practice,"Practice deep breathing 10 minutes, 3× daily or whenever feeling anxious.",Avoid caffeine and alcohol. Exercise regularly. Get adequate sleep.,"Stress, genetic factors, traumatic event, medical conditions, medications, caffeine",Exercise regularly. Practice meditation. Talk to someone. Maintain sleep routine. Limit alcohol.
